combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,upday_theoretical_call_credit,net_return_exit_pct,callside_min_upday_pct,base_entry_downday_callonly_pct,base_entry_upday_putonly_pct,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
31,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.5,0.1,110544.99992080033,3.0492700430373243,-7295.000229999423,63.920099875156055,138.00873897727882,17.746730083234244,3364,2243,801,,,,,,,
1,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,,0.1,118474.9994520843,3.0087066186777642,-8219.999868273735,62.421972534332085,147.9088632360603,21.40309155766944,3364,2243,801,,,,,,,
12,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.2,,137754.9999639392,2.9967624614571093,-10495.000111088157,72.15980024968789,171.9787764843186,13.332445391582311,3754,1853,801,,,,,,,
9,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.1,0.3,109785.00036999583,2.9760239640380903,-11195.000163838267,72.90886392009988,137.05992555555036,12.275028121484814,3556,2051,801,,,,,,,
16,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.2,0.4,118079.99993622303,2.9658483105367432,-10090.000175014138,72.03495630461923,147.41573025745697,13.600000000000001,3625,1982,801,,,,,,,
32,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.5,0.2,111784.99971322715,2.9341744508199623,-8080.000066831708,65.21739130434783,138.86335368102752,17.647903503733488,3482,2153,805,,,,,,,
19,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.3,0.1,101785.0001180917,2.913998736214861,-7855.000129193068,66.41697877652933,127.07240963557017,15.472651605231865,3364,2243,801,,,,,,,
26,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.4,0.2,107419.9999050051,2.909525663459762,-7620.000102296472,66.04244694132333,134.10736567416367,16.65226159608182,3471,2136,801,,,,,,,
2,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,,0.2,118419.99923840165,2.8944495175899476,-8124.9998988211155,63.670411985018724,147.84019879950267,21.247479112647653,3471,2136,801,,,,,,,
15,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.2,0.3,109490.00002451241,2.8794664290400385,-10485.000167414546,71.0362047440699,136.69163548628265,13.835770528683913,3556,2051,801,,,,,,,
20,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.3,0.2,101729.99990440905,2.7660761302119994,-7780.000072494149,67.41573033707866,127.00374519901254,15.499855949294153,3471,2136,801,,,,,,,
7,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.1,0.1,91495.00037372112,2.7032478890204414,-10850.000203847885,70.0374531835206,114.22596800714247,12.51486325802616,3364,2243,801,,,,,,,
13,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.2,0.1,91200.0000282377,2.607149239709117,-10140.000207424164,68.41448189762797,113.85767793787478,14.164684898929844,3364,2243,801,,,,,,,
8,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.1,0.2,91440.00016003847,2.565391279452098,-10660.000200420618,71.53558052434457,114.15730357058486,12.633246902909825,3471,2136,801,,,,,,,
14,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,1000,0,,,0.2,0.2,91144.99981455505,2.4771665770088425,-9950.000203996897,69.28838951310861,113.78901350131717,14.232209737827715,3471,2136,801,,,,,,,
