combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
24,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,True,0.2,open,120579.99949119985,2.5459759687643344,-12530.000408142805,61.28133704735376,167.93871795431735,20.46840354767184,3608,1418,718,,,,,,,
17,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,False,0.2,high,120594.99952584505,2.5389621761102354,-13600.00031195581,61.55988857938719,167.9596093674722,20.76163610719323,3545,763,718,,,,,,,
11,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,high,116749.99940954149,2.5347765229699926,-13695.000452548265,61.42061281337048,162.60445600214692,21.15219260533104,3489,819,718,,,,,,,
19,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,False,0.3,high,119294.99952800572,2.5187332150097044,-13650.00031426549,61.55988857938719,166.14902441226423,21.033791523482247,3492,816,718,,,,,,,
21,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,False,0.4,high,117924.99951481819,2.492626684524371,-13800.000320076942,61.28133704735376,164.24094639946824,21.25470878006375,3451,857,718,,,,,,,
23,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,False,0.5,high,116854.99948985875,2.4779505888525724,-13250.000339448452,60.863509749303624,162.75069566832696,21.5,3400,908,718,,,,,,,
29,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,True,0.4,high,118734.99956950545,2.4422354385871214,-14600.000448077917,61.6991643454039,165.3690801803697,20.129345189975748,3711,1315,718,,,,,,,
25,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,True,0.2,high,120844.99961480498,2.4416024572940147,-14255.000439062715,62.116991643454035,168.30779890641364,19.350282485875706,3894,1132,718,,,,,,,
31,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,True,0.5,high,116609.99955646694,2.4116516979555613,-14200.000460594893,61.28133704735376,162.40947013435508,20.539419087136928,3615,1411,718,,,,,,,
27,100,2.25,1.25,True,True,10,current,,25.0,8.0,True,True,0.3,high,118294.99964110553,2.4026892898486687,-14450.000441148877,61.97771587743732,164.75626690961772,19.786448721328764,3793,1233,718,,,,,,,
