combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,upday_theoretical_call_credit,net_return_exit_pct,callside_min_upday_pct,base_entry_downday_callonly_pct,base_entry_upday_putonly_pct,movement_entry_pct,max_vix_entry,vix_early_exit_threshold,price_based_stop_points,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
236,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.75,open,150,0,,,0.3,,,,,,159815.9995791167,1.9347505165997778,-17080.00157535076,72.77599142550912,171.29260405050022,10.030864197530864,4212,2319,933,,,,,,,
83,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.2,open,True,False,0.5,open,150,0,,,0.6,,,,,,173659.99953761697,1.934542156140223,-19285.000972747803,71.67567567567568,187.74054004066699,11.346516007532957,4248,2227,925,,,,,,,
263,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.4,open,True,False,0.35,open,150,0,,,0.6,,,,,,175215.99972313643,1.9340050932453254,-18930.000962987542,71.5203426124197,187.59743011042443,11.508590256530947,4249,2289,934,,,,,,,
173,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.4,open,150,0,,,0.6,,,,,,173930.9996677041,1.932928560047345,-19090.00096425414,71.55172413793103,187.42564619364666,11.439679547596606,4244,2252,928,,,,,,,
107,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.25,open,True,False,0.25,open,150,0,,,0.6,,,,,,175422.99963261187,1.9327036310368186,-19325.00101685524,71.59827213822895,189.44168426847935,11.361513311536665,4282,2200,926,,,,,,,
23,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.1,open,True,False,0.35,open,150,0,,,0.6,,,,,,174662.9996265024,1.932539904099594,-20643.00096462667,71.56756756756756,188.82486446108368,11.268917345750873,4295,2180,925,,,,,,,
134,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.25,open,True,False,0.6,open,150,0,,,0.3,,,,,,159181.99951586127,1.932296328120493,-17035.00157237053,72.95258620689656,171.5323270645057,10.025949516395375,4239,2257,928,,,,,,,
203,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.25,open,150,0,,,0.6,,,,,,175191.99969735742,1.9313911314697068,-19375.001014322042,71.55172413793103,188.7844824324972,11.461520357731231,4249,2247,928,,,,,,,
246,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.4,open,True,False,0.25,open,150,0,,,,,,,,,187690.99930240214,1.9310598374751564,-25790.000833794475,71.27545551982851,201.16934544737634,12.608389969533631,4267,2264,933,,,,,,,
183,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.6,open,150,0,,,0.4,,,,,,162964.99996818602,1.9309738924013637,-17035.00157237053,71.76724137931035,175.60883617261425,10.66350710900474,4220,2276,928,,,,,,,
77,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.2,open,True,False,0.4,open,150,0,,,0.6,,,,,,173774.99959990382,1.9309432961927107,-19040.00096678734,71.56756756756756,187.86486443232846,11.340690302888001,4259,2216,925,,,,,,,
224,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.5,open,150,0,,,0.3,,,,,,160736.99959260225,1.9307211503337867,-17080.00157535076,72.63948497854076,172.46459183755607,10.030718336483933,4232,2292,932,,,,,,,
68,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.2,open,True,False,0.35,open,150,0,,,0.3,,,,,,160696.99958336353,1.930705365057,-17035.00157237053,72.86486486486487,173.72648603606868,9.94604738447103,4263,2212,925,,,,,,,
232,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.6,open,150,0,,,0.5,,,,,,169336.9997778982,1.9306874352125125,-16340.001580119133,71.81136120042872,181.49732023354576,11.14792899408284,4225,2306,933,,,,,,,
278,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.4,open,True,False,0.6,open,150,0,,,0.3,,,,,,159670.99965138733,1.9290910847612313,-17080.00157535076,72.69807280513919,170.9539610828558,10.085328276842853,4219,2319,934,,,,,,,
191,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.75,open,150,0,,,0.6,,,,,,171809.9995908141,1.9282997960059491,-19805.000983327627,71.76724137931035,185.14008576596348,11.466254752851711,4208,2288,928,,,,,,,
218,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.4,open,150,0,,,0.3,,,,,,160851.9996548891,1.9271934352309532,-17080.00157535076,72.63948497854076,172.58798246232737,10.02828187603111,4243,2281,932,,,,,,,
275,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.4,open,True,False,0.5,open,150,0,,,0.6,,,,,,173985.99964386225,1.9264764095513265,-19395.000968948007,71.62740899357601,186.28051353732576,11.52846680841011,4233,2305,934,,,,,,,
