combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
4,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,False,0.4,open,120639.99926783144,2.695364650571368,-12940.000422149897,60.778859527121,167.7885942528949,21.661237785016286,3377,937,719,,,,,,,
5,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,False,0.4,low,120639.99926783144,2.695364650571368,-12940.000422149897,60.778859527121,167.7885942528949,21.661237785016286,3377,937,719,,,,,,,
6,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,False,0.5,open,120639.99926783144,2.695364650571368,-12940.000422149897,60.778859527121,167.7885942528949,21.661237785016286,3377,937,719,,,,,,,
7,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,False,0.5,low,120639.99926783144,2.695364650571368,-12940.000422149897,60.778859527121,167.7885942528949,21.661237785016286,3377,937,719,,,,,,,
30,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,True,0.5,open,121724.99942071736,2.693998528404244,-12410.000391304493,61.057023643949925,169.29763479932873,21.715433161216293,3486,1547,719,,,,,,,
16,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.2,open,121789.99926634133,2.6807158141657466,-12550.000369250774,60.778859527121,169.38803792258878,21.74662453318012,3481,1552,719,,,,,,,
27,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,True,0.3,low,123364.99964922667,2.6774546990114527,-13575.000286996365,61.19610570236439,171.5785808751414,22.02136400986031,3651,1382,719,,,,,,,
29,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,True,0.4,low,122514.99956525862,2.67593690987435,-11700.000323355198,61.057023643949925,170.39638326183396,21.97011621472053,3614,1419,719,,,,,,,
10,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,True,0.3,open,120094.9995148927,2.6758509873888165,-12175.0004132092,61.19610570236439,167.03059737815397,21.771378708551484,3438,876,719,,,,,,,
13,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,True,0.4,low,120134.9994622916,2.6757684467138154,-12775.000394135714,60.778859527121,167.08623012836105,21.844380403458214,3470,844,719,,,,,,,
26,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,True,0.3,open,121844.99951727688,2.675411285969752,-11835.000346004963,61.335187760778865,169.46453340372307,21.81122448979592,3528,1505,719,,,,,,,
19,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.3,low,122629.99938264489,2.674702964994676,-13485.000348389149,61.057023643949925,170.55632737502768,21.863546659148575,3547,1486,719,,,,,,,
8,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,True,0.2,open,120009.99957315624,2.6743164205082226,-12175.0004132092,61.19610570236439,166.9123777095358,21.807124239791488,3453,861,719,,,,,,,
15,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,True,0.5,low,119764.99949924648,2.671845796825952,-13015.00039294362,61.057023643949925,166.57162656362513,21.835260115606935,3460,854,719,,,,,,,
14,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,True,0.5,open,119364.99942429364,2.6680395984018594,-13170.000437647104,60.91794158553546,166.01529822572132,21.752486834406085,3418,896,719,,,,,,,
31,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,True,0.5,low,121689.99954305589,2.6679916337255176,-11940.000322163105,61.19610570236439,169.24895624903462,21.92296957856545,3583,1450,719,,,,,,,
12,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,False,True,0.4,open,119514.99944753945,2.6649559692488407,-12680.000428706408,61.057023643949925,166.22392134567377,21.770195392242638,3429,885,719,,,,,,,
17,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.2,low,122254.99938070774,2.6606132535374254,-13360.000359714031,61.057023643949925,170.0347696532792,21.936205931729155,3574,1459,719,,,,,,,
25,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,True,0.2,low,122869.9996509403,2.654821187771294,-13450.000298321247,61.61335187760779,170.89012468837316,22.101547651371163,3683,1350,719,,,,,,,
24,100,2.25,1.25,True,True,10,current,,25.0,8.0,False,True,0.3,open,True,True,0.2,open,121159.99957166612,2.6530037161544757,-11785.000360310078,61.474269819193324,168.51182137922964,21.8864211414113,3557,1476,719,,,,,,,
