date,vix,credit_pnl,price_pnl,better
2023-05-26,17.98,515.00,970.00,n=0.3
2023-05-30,17.21,220.00,220.00,credit
2023-05-31,17.98,95.00,515.00,n=0.3
2023-06-01,16.70,-735.00,-1065.00,credit
2023-06-02,14.87,65.00,-85.00,credit
2023-06-05,15.14,300.00,300.00,credit
2023-06-06,14.39,155.00,155.00,credit
2023-06-07,13.99,205.00,205.00,credit
2023-06-08,13.97,70.00,70.00,credit
2023-06-09,13.53,175.00,175.00,credit
2023-06-12,14.70,-380.00,-1334.00,credit
2023-06-13,14.61,630.00,630.00,credit
2023-06-14,14.45,-1105.00,1615.00,n=0.3
2023-06-15,14.15,-2450.00,-3790.00,credit
2023-06-16,14.33,575.00,575.00,credit
2023-06-20,14.40,-355.00,220.00,n=0.3
2023-06-21,13.69,475.00,475.00,credit
2023-06-22,13.60,185.00,185.00,credit
2023-06-23,13.29,175.00,175.00,credit
2023-06-26,13.96,200.00,200.00,credit
2023-06-27,14.02,-1890.00,-1890.00,credit
2023-06-28,13.71,110.00,110.00,credit
2023-06-29,13.81,275.00,275.00,credit
2023-06-30,13.39,630.00,630.00,credit
2023-07-03,13.78,0.00,0.00,credit
2023-07-05,14.29,0.00,0.00,credit
2023-07-06,16.29,135.00,135.00,credit
2023-07-07,14.83,-1415.00,-1415.00,credit
2023-07-10,15.24,180.00,180.00,credit
2023-07-11,15.03,-145.00,-283.00,credit
2023-07-12,13.99,215.00,215.00,credit
2023-07-13,13.31,55.00,55.00,credit
2023-07-14,13.67,50.00,50.00,credit
2023-07-17,13.66,0.00,0.00,credit
2023-07-18,13.44,0.00,0.00,credit
2023-07-19,13.46,110.00,110.00,credit
2023-07-20,14.06,190.00,190.00,credit
2023-07-21,13.53,105.00,105.00,credit
2023-07-24,13.95,45.00,45.00,credit
2023-07-25,13.83,0.00,0.00,credit
2023-07-26,13.85,1685.00,1685.00,credit
2023-07-27,12.91,100.00,100.00,credit
2023-07-28,13.47,155.00,155.00,credit
2023-07-31,13.92,75.00,75.00,credit
2023-08-01,14.12,55.00,55.00,credit
2023-08-02,15.70,400.00,400.00,credit
2023-08-03,16.98,325.00,325.00,credit
2023-08-04,15.51,-475.00,-255.00,n=0.3
2023-08-07,16.57,170.00,170.00,credit
