combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
75,125,1.75,1.75,True,True,10,current,,100915.00130146742,2.1274879623137193,-18334.998950511217,61.6991643454039,140.55014108839472,25.17198248905566,3198,392,718,,,,,,,
17,75,1.75,2.25,True,True,10,current,,95070.00215135515,2.125200478370195,-16584.999298751354,61.42061281337048,132.4094737484055,27.141963727329582,3198,392,718,,,,,,,
105,150,1.75,1.75,True,True,10,current,,104185.00109113753,2.1240614373220073,-20669.999093562365,61.83844011142061,145.1044583442027,24.515322076297686,3198,392,718,,,,,,,
104,150,1.75,1.5,True,True,10,current,,103795.00100426376,2.1219560527980805,-19944.999518468976,62.39554317548747,144.5612827357434,23.921200750469044,3198,392,718,,,,,,,
74,125,1.75,1.5,True,True,10,current,,100200.00085838139,2.117565049164159,-19244.999739676714,61.00278551532033,139.55431874426378,24.640400250156347,3198,392,718,,,,,,,
29,75,2.25,2.25,True,True,10,current,,102305.00129245222,2.1154051701949417,-16585.000208467245,61.14206128133704,142.48607422347106,25.2038895859473,3188,402,718,,,,,,,
106,150,1.75,2.0,True,True,10,current,,102350.00235132873,2.10612096868262,-22404.99899752438,61.28133704735376,142.54874979293695,24.921826141338336,3198,392,718,,,,,,,
24,75,2.25,1.0,True,True,10,current,,88289.99995976686,2.1034287004088856,-13365.000257343054,61.42061281337048,122.96657376012098,24.043287327478044,3188,402,718,,,,,,,
142,200,2.0,2.0,True,True,10,current,,112540.00182494521,2.0968061937097646,-21704.999725297093,63.091922005571035,156.74094961691534,22.933625547902317,3194,396,718,,,,,,,
46,100,1.75,2.0,True,True,10,current,,95365.00273749232,2.078529979961745,-19789.99931462109,60.44568245125348,132.82033807450185,26.32895559724828,3198,392,718,,,,,,,
72,125,1.75,1.0,True,True,10,current,,90185.00144697726,2.0618985738135143,-17879.99957099557,61.14206128133704,125.60585159746137,23.358348968105066,3198,392,718,,,,,,,
83,125,2.0,2.25,True,True,10,current,,102570.00129036605,2.04755231328299,-21249.99998614192,61.42061281337048,142.85515500050982,24.874765184721355,3194,396,718,,,,,,,
97,150,1.5,1.25,True,True,10,current,,93954.999878034,2.03913768558108,-18990.00020571053,61.6991643454039,130.8565457911337,23.90357698289269,3215,375,718,,,,,,,
8,75,1.5,1.5,True,True,10,current,,87105.00040777028,2.0327421403523163,-15639.999392554164,59.47075208913649,121.31615655678311,27.091757387247277,3215,375,718,,,,,,,
6,75,1.5,1.0,True,True,10,current,,77245.0019030273,2.0249096070778076,-13114.99957345426,60.44568245125348,107.58356811006587,26.018662519440124,3215,375,718,,,,,,,
